sample_id,image_path,source_dataset,beam_image_type_proxy,beam_quality_label,alignment_state_label,severity_label,giga_rank_proxy,center_status,size_status,symmetry_status,uniformity_status,contm_proxy_status,notes
sample_0019,images/beamage_Friday_February_07_2025_15_55_03.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0020,images/beamage_Friday_February_07_2025_15_55_59.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0021,images/beamage_Friday_February_07_2025_15_56_55.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0022,images/beamage_Friday_February_07_2025_15_58_21.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0023,images/beamage_Friday_February_07_2025_15_59_17.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0024,images/beamage_Friday_February_07_2025_16_00_13.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0025,images/beamage_Friday_February_07_2025_16_01_40.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0026,images/beamage_Friday_February_07_2025_16_02_36.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0027,images/beamage_Friday_February_07_2025_16_03_32.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0028,images/beamage_Friday_February_07_2025_16_04_59.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0029,images/beamage_Friday_February_07_2025_16_05_55.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0030,images/beamage_Friday_February_07_2025_16_06_51.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0031,images/beamage_Friday_February_07_2025_16_08_18.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0032,images/beamage_Friday_February_07_2025_16_09_14.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0033,images/beamage_Friday_February_07_2025_16_10_09.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0034,images/beamage_Friday_February_14_2025_14_10_30.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0035,images/beamage_Friday_February_14_2025_14_12_06.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0036,images/beamage_Friday_February_14_2025_14_13_41.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0037,images/beamage_Friday_February_14_2025_14_15_17.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0038,images/beamage_Friday_February_14_2025_14_16_52.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0039,images/beamage_Friday_February_14_2025_14_18_28.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0040,images/beamage_Friday_February_14_2025_14_20_04.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0041,images/beamage_Friday_February_14_2025_14_21_39.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0042,images/beamage_Friday_February_14_2025_14_23_15.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0043,images/beamage_Friday_February_14_2025_14_24_50.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0044,images/beamage_Friday_February_14_2025_14_26_26.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0045,images/beamage_Friday_February_14_2025_14_28_41.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0046,images/beamage_Friday_February_14_2025_14_30_16.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0047,images/beamage_Friday_February_14_2025_14_31_52.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0048,images/beamage_Friday_February_14_2025_14_33_27.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0049,images/beamage_Friday_February_14_2025_14_35_03.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0050,images/beamage_Friday_February_14_2025_14_36_38.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0051,images/beamage_Friday_February_14_2025_14_38_14.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0052,images/beamage_Friday_February_14_2025_14_39_49.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0053,images/beamage_Friday_February_14_2025_14_41_25.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0054,images/beamage_Friday_February_14_2025_14_43_01.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0055,images/beamage_Friday_February_14_2025_14_44_36.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0056,images/beamage_Friday_February_14_2025_14_46_51.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0057,images/beamage_Friday_February_14_2025_14_48_27.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0058,images/beamage_Friday_February_14_2025_14_50_02.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0059,images/beamage_Friday_February_14_2025_14_51_38.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0060,images/beamage_Friday_February_14_2025_14_53_14.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0061,images/beamage_Friday_February_14_2025_14_54_49.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0062,images/beamage_Friday_February_14_2025_14_56_25.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0063,images/beamage_Friday_February_14_2025_14_58_00.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0064,images/beamage_Friday_February_14_2025_14_59_36.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0065,images/beamage_Friday_February_14_2025_15_01_12.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0066,images/beamage_Friday_February_14_2025_15_02_47.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0067,images/beamage_Friday_February_14_2025_15_05_02.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0068,images/beamage_Friday_February_14_2025_15_06_38.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0069,images/beamage_Friday_February_14_2025_15_08_14.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0070,images/beamage_Friday_February_14_2025_15_09_49.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0071,images/beamage_Friday_February_14_2025_15_11_25.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0072,images/beamage_Friday_February_14_2025_15_13_01.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0073,images/beamage_Friday_February_14_2025_15_14_36.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0074,images/beamage_Friday_February_14_2025_15_16_12.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0075,images/beamage_Friday_February_14_2025_15_17_47.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0076,images/beamage_Friday_February_14_2025_15_19_23.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0077,images/beamage_Friday_February_14_2025_15_20_59.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0078,images/beamage_Friday_February_14_2025_15_23_14.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0079,images/beamage_Friday_February_14_2025_15_24_49.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0080,images/beamage_Friday_February_14_2025_15_26_25.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0081,images/beamage_Friday_February_14_2025_15_28_00.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0082,images/beamage_Friday_February_14_2025_15_29_36.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0083,images/beamage_Friday_February_14_2025_15_31_12.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0084,images/beamage_Friday_February_14_2025_15_32_47.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0085,images/beamage_Friday_February_14_2025_15_34_23.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0086,images/beamage_Friday_February_14_2025_15_35_58.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0087,images/beamage_Friday_February_14_2025_15_37_34.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0088,images/beamage_Friday_February_14_2025_15_39_10.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0089,images/beamage_Friday_February_14_2025_15_41_25.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0090,images/beamage_Friday_February_14_2025_15_43_01.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0091,images/beamage_Friday_February_14_2025_15_44_36.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0092,images/beamage_Friday_February_14_2025_15_46_12.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0093,images/beamage_Friday_February_14_2025_15_47_47.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0094,images/beamage_Friday_February_14_2025_15_49_23.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0095,images/beamage_Friday_February_14_2025_15_50_59.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0096,images/beamage_Friday_February_14_2025_15_52_34.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0097,images/beamage_Friday_February_14_2025_15_54_10.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0098,images/beamage_Friday_February_14_2025_15_55_45.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0099,images/beamage_Friday_February_14_2025_15_57_21.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0100,images/beamage_Friday_February_14_2025_15_59_36.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0101,images/beamage_Friday_February_14_2025_16_01_12.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0102,images/beamage_Friday_February_14_2025_16_02_47.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0103,images/beamage_Friday_February_14_2025_16_04_23.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0104,images/beamage_Friday_February_14_2025_16_05_58.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0105,images/beamage_Friday_February_14_2025_16_07_34.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0106,images/beamage_Friday_February_14_2025_16_09_09.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0107,images/beamage_Friday_February_14_2025_16_10_45.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0108,images/beamage_Friday_February_14_2025_16_12_20.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0109,images/beamage_Friday_February_14_2025_16_13_56.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sample_0110,images/beamage_Friday_February_14_2025_16_15_32.png,laser_resonator_subset_v1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
